message,subject,intent,issue
Thank you sir,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Thank you sir 
Front end support executives don't know what to do when we ask for solution,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Front end support executives don't know what to do when we ask for solution 
Mujhe baat kerke achAa lga,,Customer Requested Modifications,Customer Requested Modifications - Mujhe baat kerke achAa lga 
No,,Account updation,Account updation - No
Good,,Product Specific Information,Product Specific Information - Good 
Good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good 
Thank you   ji,,General Enquiry,General Enquiry - Thank you   ji
Nice service,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Nice service 
Shopzilla is very very....poor service provider ??,,Delayed,Delayed - Shopzilla is very very....poor service provider ??
Nice customer service,,Fraudulent User,Fraudulent User - Nice customer service
This is disgusting....worst....not solve my problem....and customer support executive talk in unmanned way.....,,Order status enquiry,Order status enquiry - This is disgusting....worst....not solve my problem....and customer support executive talk in unmann
Thank you,,Not Needed,Not Needed - Thank you
Good Interaction with executive,,Fraudulent User,Fraudulent User - Good Interaction with executive
Thanku,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Thanku 
Good,,Fraudulent User,Fraudulent User - Good 
Everything ok,,Not Needed,Not Needed - Everything ok
Product cancelled without any information and got feed that u have rehected the delivery,,Seller Cancelled Order,Seller Cancelled Order - Product cancelled without any information and got feed that u have rehected the delivery 
Shopping made easyThanks Shopzilla,,Product Specific Information,Product Specific Information - Shopping made easyThanks Shopzilla 
When I order they show me delivery after 2 days and once I made full payment in advance they show me delivery after 4/5 days and today when I receive my order that delivery agent is not received call totally useless services I'll never order again from Shopzilla,,Order status enquiry,Order status enquiry - When I order they show me delivery after 2 days and once I made full payment in advance they show me
Sir I have ordered two libas kurtas and wrong product send by seller in both the parcels . As per my complaint Only one parcel is showing for refund and I want my total money of two parcels .,,Return request,Return request - Sir I have ordered two libas kurtas and wrong product send by seller in both the parcels . As per my
Thanks you Shopzilla,,Return request,Return request - Thanks you Shopzilla 
Nice,,Delayed,Delayed - Nice 
Thank you Mam,,Missing,Missing - Thank you Mam
Good,,Signup Issues,Signup Issues - Good 
Please make a product tracking system with contact number of every handover consultant's,,Delayed,Delayed - Please make a product tracking system with contact number of every handover consultant's 
Kafi achha se mujhe jankari deya.or jadon hi team mere problem per work   Diya.,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Kafi achha se mujhe jankari deya.or jadon hi team mere problem per work   Diya.
Delivery boy was very rude behavior,,Product Specific Information,Product Specific Information - Delivery boy was very rude behavior 
Good experience,,Order status enquiry,Order status enquiry - Good experience 
Good service,,General Enquiry,General Enquiry - Good service 
Good experience with Shopzilla,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good experience with Shopzilla 
Thanks,,Order status enquiry,Order status enquiry - Thanks
Customer executive was polite and skillful but I'm really not very disappointed with Shopzilla sellers and their post delivery service.,,Account updation,Account updation - Customer executive was polite and skillful but I'm really not very disappointed with Shopzilla selle
not okay with the product,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - not okay with the product 
Maintain product quality,,Return request,Return request - Maintain product quality 
Product must be trustful and worthy.,,Installation/demo,Installation/demo - Product must be trustful and worthy.
Issue not solved,,Seller Cancelled Order,Seller Cancelled Order - Issue not solved 
Very very nice guy .,,Service Centres Related,Service Centres Related - Very very nice guy .
Good Taking Good behaviour,,Delayed,Delayed - Good Taking Good behaviour
Best app Shopzilla,,Order status enquiry,Order status enquiry - Best app Shopzilla 
Very good jobs ??,,Delayed,Delayed - Very good jobs ??
Please resolve my issue,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Please resolve my issue 
Fast action pls,,Order status enquiry,Order status enquiry - Fast action pls 
Don't allow directly to cancel the order,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Don't allow directly to cancel the order
Good listener and polite behaviour,,Missing,Missing - Good listener and polite behaviour
Refund related policy,,Product Specific Information,Product Specific Information - Refund related policy 
NYC and good man talking bout me ?,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - NYC and good man talking bout me ?
good knowledge,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - good knowledge 
Thanks,,Seller Cancelled Order,Seller Cancelled Order - Thanks
Call disconnected,,General Enquiry,General Enquiry - Call disconnected 
Thank you,,General Enquiry,General Enquiry - Thank you
It was good,,Delayed,Delayed - It was good 
It was awasome,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - It was awasome 
everyone make fool from Shopzilla,,Technician Visit,Technician Visit - everyone make fool from Shopzilla 
My issue has been going on for 48 hours now still unresolved,,Exchange / Replacement,Exchange / Replacement - My issue has been going on for 48 hours now still unresolved 
Close the online grocery store if you have restrictions on buyings,,Product Specific Information,Product Specific Information - Close the online grocery store if you have restrictions on buyings 
good,,Order status enquiry,Order status enquiry -   good 
Excellent performance,,Return request,Return request - Excellent performance 
"Nice to talk with you Miss  , After some Lil long conversation make me smile on my face with your resolution.Thank you.",,Exchange / Replacement,"Exchange / Replacement - Nice to talk with you Miss  , After some Lil long conversation make me smile on my face with your re"
Solve this issue as soon as possible,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Solve this issue as soon as possible 
Not solved my issue,,Exchange / Replacement,Exchange / Replacement - Not solved my issue 
Good behaviour costomer care,,General Enquiry,General Enquiry - Good behaviour costomer care 
Fine,,Delayed,Delayed - Fine
Very nice ?? service,,Order status enquiry,Order status enquiry - Very nice ?? service 
My problem is solve thank you costumer service,,Installation/demo,Installation/demo - My problem is solve thank you costumer service
Issue refund immediately,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Issue refund immediately 
Good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good
Very thanks to you,,Wrong,Wrong - Very thanks to you 
Return policy is very slow and bad,,Wrong,Wrong - Return policy is very slow and bad
Very helpful call thanku team,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very helpful call thanku team
Thks uuu,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Thks uuu
Super everything,,Fraudulent User,Fraudulent User - Super everything 
Very good experience with this... She is very kindly talk with me thank you   ??,,Other Cashback,Other Cashback - Very good experience with this... She is very kindly talk with me thank you   ??
Give proper answer for the specific enquiry customer have. Instead of generic Answer.,,Delayed,Delayed - Give proper answer for the specific enquiry customer have. Instead of generic Answer.
No any solution and no replace my boat airbuds 161Very bad service boat and Shopzilla,,Service Centres Related,Service Centres Related - No any solution and no replace my boat airbuds 161Very bad service boat and Shopzilla 
